date,tomato,onion,potato,greenchilli
2015-03-16,11.1,25.8,19.8,37.1
2015-03-17,11.5,24.8,19.2,38.9
2015-03-18,11.0,24.4,19.2,41.3
2015-03-19,12.1,24.6,19.0,40.1
2015-03-20,11.7,24.0,18.4,37.3
2015-03-21,12.4,24.5,18.4,37.9
2015-03-22,13.0,22.8,18.4,37.3
2015-03-23,13.1,23.1,19.2,36.7
2015-03-24,13.6,22.7,19.6,34.8
2015-03-25,14.9,24.1,20.7,37.6
2015-03-26,15.4,23.2,20.9,35.1
2015-03-27,15.9,23.6,20.4,33.7
2015-03-28,16.4,24.1,21.5,34.4
2015-03-29,16.9,24.0,20.0,37.2
2015-03-30,17.5,23.8,19.3,34.7
2015-03-31,18.6,22.3,19.6,35.6
2015-04-01,18.1,22.1,20.1,36.1
2015-04-02,18.1,22.5,19.8,36.2
2015-04-03,17.5,22.6,19.9,39.7
2015-04-04,17.8,23.3,19.0,41.8
2015-04-05,17.2,23.1,20.7,40.2
2015-04-06,16.8,22.6,22.1,40.3
2015-04-07,17.2,20.8,22.0,38.3
2015-04-08,17.1,22.4,22.2,38.8
2015-04-09,17.3,22.7,22.6,38.7
2015-04-10,17.7,23.7,22.5,41.6
2015-04-11,17.6,23.1,22.8,41.9
2015-04-12,17.3,24.5,22.6,41.0
2015-04-13,17.6,26.1,22.7,42.3
2015-04-14,17.0,25.6,22.7,45.6
2015-04-15,18.2,25.8,23.8,44.3
2015-04-16,19.2,25.5,24.3,43.8
2015-04-17,19.0,25.0,24.4,45.1
2015-04-18,18.5,24.6,25.5,47.7
2015-04-19,17.1,25.6,24.2,46.0
2015-04-20,17.2,23.8,24.0,46.3
2015-04-21,17.5,23.3,22.9,46.3
2015-04-22,19.0,23.6,23.4,44.4
2015-04-23,20.2,24.8,23.5,45.2
2015-04-24,19.7,24.7,24.1,43.7
2015-04-25,20.0,25.1,22.8,42.8
2015-04-26,19.8,25.3,23.5,41.6
2015-04-27,20.1,25.8,23.8,42.3
2015-04-28,19.1,25.2,24.8,42.9
2015-04-29,18.9,24.4,24.4,43.3
2015-04-30,18.8,25.6,24.1,42.2
2015-05-01,18.4,25.1,23.8,44.4
2015-05-02,18.8,24.6,24.6,46.0
2015-05-03,20.1,24.3,24.3,48.1
2015-05-04,18.9,24.2,24.9,47.4
2015-05-05,18.0,23.9,24.9,47.8
2015-05-06,17.1,24.2,24.2,47.2
2015-05-07,18.0,25.6,23.8,46.0
2015-05-08,18.3,26.1,22.9,46.2
2015-05-09,18.0,26.6,22.7,45.2
2015-05-10,17.7,26.2,22.5,45.1
2015-05-11,18.2,27.0,22.8,41.6
2015-05-12,18.5,25.9,25.4,42.4
2015-05-13,18.8,25.0,25.9,43.1
2015-05-14,17.7,25.9,25.9,42.6
2015-05-15,18.0,24.0,26.7,46.5
2015-05-16,18.3,24.8,26.8,47.4
2015-05-17,18.5,26.4,26.7,46.9
2015-05-18,19.1,26.3,26.6,46.9
2015-05-19,19.6,25.8,26.9,46.5
2015-05-20,20.3,25.1,26.7,47.9
2015-05-21,20.6,24.5,26.3,48.3
2015-05-22,21.3,24.4,25.5,51.7
2015-05-23,21.0,24.3,24.9,53.0
2015-05-24,20.8,23.4,24.2,50.9
2015-05-25,21.6,24.8,23.8,52.6
2015-05-26,21.3,25.4,23.3,51.5
2015-05-27,21.6,24.4,26.1,51.4
2015-05-28,21.3,25.0,26.3,50.3
2015-05-29,20.4,24.3,25.1,50.9
2015-05-30,20.3,24.1,23.1,50.7
2015-05-31,20.1,25.0,22.6,51.3
2015-06-01,19.7,24.5,23.1,51.9
2015-06-02,18.3,24.0,22.9,50.2
2015-06-03,18.2,23.5,24.1,47.6
2015-06-04,19.4,25.0,23.6,45.2
2015-06-05,19.6,25.9,24.9,47.2
2015-06-06,19.7,24.2,25.1,48.8
2015-06-07,20.5,24.4,24.9,50.9
2015-06-08,20.9,25.1,25.0,52.1
2015-06-09,21.4,25.8,25.5,54.2
2015-06-10,21.0,25.0,24.0,56.8
2015-06-11,20.9,27.1,24.4,55.2
2015-06-12,20.1,25.9,24.1,55.4
2015-06-13,20.0,26.5,23.6,53.2
2015-06-14,19.8,26.9,23.6,50.4
2015-06-15,19.3,25.9,23.5,49.5
2015-06-16,17.9,27.0,23.6,48.6
2015-06-17,17.9,27.8,24.7,50.9
2015-06-18,17.7,26.9,25.1,51.9
2015-06-19,18.2,27.0,24.3,51.8
2015-06-20,18.1,27.5,24.6,53.1
2015-06-21,18.4,27.4,26.2,53.3
2015-06-22,18.0,29.1,26.1,52.5
2015-06-23,18.2,28.4,27.1,49.9
2015-06-24,19.2,29.4,26.6,49.5
2015-06-25,19.8,27.8,27.9,51.2
2015-06-26,20.4,27.1,26.8,48.1
2015-06-27,19.8,26.4,27.1,50.1
2015-06-28,19.8,25.7,27.1,49.7
2015-06-29,19.8,25.6,27.1,52.1
2015-06-30,20.0,27.1,27.3,53.9
2015-07-01,19.9,27.0,26.9,52.6
2015-07-02,19.9,27.0,25.2,52.3
2015-07-03,19.2,25.9,24.9,52.7
2015-07-04,19.4,27.0,24.9,51.0
2015-07-05,18.6,27.3,22.4,49.7
2015-07-06,19.2,27.4,22.7,50.0
2015-07-07,18.8,28.5,22.4,50.6
2015-07-08,18.9,28.9,23.0,49.2
2015-07-09,17.8,28.2,23.5,47.1
2015-07-10,17.7,28.6,23.2,46.6
2015-07-11,18.1,29.0,22.9,44.2
2015-07-12,18.2,28.6,22.4,41.8
2015-07-13,18.7,29.1,22.9,44.3
2015-07-14,18.8,29.1,24.0,46.1
2015-07-15,19.1,29.6,23.5,46.9
2015-07-16,18.7,29.0,23.8,48.1
2015-07-17,18.4,30.1,24.4,49.1
2015-07-18,17.5,30.2,23.2,48.9
2015-07-19,17.5,30.9,24.9,49.8
2015-07-20,16.1,29.5,25.4,49.0
2015-07-21,16.0,30.4,26.6,49.4
2015-07-22,15.6,31.3,26.5,50.8
2015-07-23,16.2,29.4,27.0,49.9
2015-07-24,16.8,28.4,29.5,49.0
2015-07-25,17.2,28.3,28.9,52.4
2015-07-26,17.0,28.4,28.9,53.5
2015-07-27,17.8,28.0,28.1,52.7
2015-07-28,18.7,28.6,27.2,52.0
2015-07-29,19.5,26.8,26.9,53.8
2015-07-30,19.5,27.5,25.9,54.4
2015-07-31,19.0,29.8,26.3,53.5
2015-08-01,18.4,28.8,25.5,50.3
2015-08-02,18.9,27.2,25.4,49.3
2015-08-03,18.8,26.9,25.5,48.7
2015-08-04,18.7,27.8,24.7,46.6
2015-08-05,19.1,27.5,24.9,48.2
2015-08-06,18.6,27.7,25.8,46.5
2015-08-07,17.7,26.5,24.1,47.7
2015-08-08,18.1,27.5,25.2,45.1
2015-08-09,17.3,26.4,25.5,46.2
2015-08-10,17.5,27.0,25.7,45.0
2015-08-11,17.8,26.2,24.9,46.4
2015-08-12,17.8,25.0,25.8,44.5
2015-08-13,17.8,23.7,24.7,43.6
2015-08-14,17.6,23.4,24.4,45.6
2015-08-15,18.3,23.5,22.5,46.7
2015-08-16,18.8,24.4,21.5,44.4
2015-08-17,19.0,23.7,20.7,42.2
2015-08-18,19.6,23.8,21.0,40.4
2015-08-19,19.3,23.9,21.8,43.7
2015-08-20,19.6,23.8,21.5,47.5
2015-08-21,18.7,23.4,21.1,47.1
2015-08-22,18.4,24.3,20.0,48.1
2015-08-23,17.7,26.9,20.6,47.2
2015-08-24,18.0,27.0,22.7,50.1
2015-08-25,18.2,26.9,21.9,48.1
2015-08-26,17.8,25.8,23.2,45.8
2015-08-27,17.6,27.2,22.6,47.1
2015-08-28,18.9,26.4,23.3,46.8
2015-08-29,18.4,25.7,22.5,46.4
2015-08-30,18.5,24.8,22.4,44.6
2015-08-31,18.2,25.3,22.2,44.0
2015-09-01,17.5,24.0,22.1,43.5
2015-09-02,16.8,23.0,21.4,40.2
2015-09-03,16.7,21.6,20.7,39.0
2015-09-04,16.6,22.6,20.5,39.3
2015-09-05,17.2,22.7,21.0,40.6
2015-09-06,17.6,21.8,22.3,40.8
2015-09-07,18.1,20.4,22.9,36.3
2015-09-08,17.3,20.6,23.3,37.2
2015-09-09,16.5,20.9,22.9,37.9
2015-09-10,15.9,22.4,22.8,37.6
2015-09-11,16.2,22.1,23.9,37.8
2015-09-12,14.9,22.8,23.6,37.7
2015-09-13,14.1,22.4,22.8,37.6
2015-09-14,13.8,21.8,23.0,38.8
2015-09-15,13.9,22.3,23.1,37.0
2015-09-16,14.1,21.8,22.4,35.9
2015-09-17,14.8,21.0,22.2,34.5
2015-09-18,16.5,21.9,20.8,34.9
2015-09-19,14.7,20.3,19.9,34.0
2015-09-20,14.4,19.9,20.0,37.7
2015-09-21,14.0,21.5,20.2,38.2
2015-09-22,13.6,20.5,20.3,39.7
2015-09-23,13.6,21.0,20.2,39.5
2015-09-24,14.0,21.3,19.4,40.0
2015-09-25,13.8,21.2,19.8,43.0
2015-09-26,13.2,23.7,20.8,43.0
2015-09-27,12.9,25.2,20.4,43.7
2015-09-28,13.2,23.7,20.9,43.4
2015-09-29,14.0,24.5,20.4,41.5
2015-09-30,14.4,25.4,20.7,44.3
2015-10-01,13.3,23.9,20.1,39.6
2015-10-02,12.3,22.5,18.6,40.2
2015-10-03,11.9,21.1,19.1,42.4
2015-10-04,11.5,21.7,19.2,40.7
2015-10-05,11.6,23.0,17.7,36.7
2015-10-06,11.8,22.8,17.3,37.1
2015-10-07,11.9,21.6,17.9,35.3
2015-10-08,13.8,22.7,17.7,35.1
2015-10-09,13.3,21.2,17.2,33.8
2015-10-10,12.5,19.1,17.2,34.7
2015-10-11,11.6,19.6,16.9,37.1
2015-10-12,11.3,19.5,16.4,33.2
2015-10-13,12.4,19.1,16.5,36.1
2015-10-14,13.1,19.5,16.3,37.9
2015-10-15,12.3,20.4,17.0,34.3
2015-10-16,12.8,20.5,16.0,34.5
2015-10-17,11.8,21.4,15.2,36.8
2015-10-18,11.8,20.2,15.1,37.0
2015-10-19,11.6,20.4,15.4,37.1
2015-10-20,11.1,21.4,17.0,35.2
2015-10-21,10.8,20.9,17.7,34.8
2015-10-22,12.0,22.1,18.5,34.1
2015-10-23,11.7,21.5,17.4,32.9
2015-10-24,11.9,19.8,17.4,31.7
2015-10-25,12.6,20.1,17.4,31.1
2015-10-26,11.8,19.4,17.9,31.5
2015-10-27,12.4,20.4,17.0,32.2
2015-10-28,12.7,21.1,17.4,31.2
2015-10-29,12.0,19.9,16.7,31.6
2015-10-30,12.0,21.5,15.4,31.2
2015-10-31,11.4,22.1,16.9,31.4
2015-11-01,11.3,21.4,16.3,30.3
2015-11-02,11.5,20.5,15.4,30.2
2015-11-03,11.7,19.3,15.4,30.2
2015-11-04,11.2,20.3,16.9,30.6
2015-11-05,11.2,21.0,16.2,28.3
2015-11-06,10.8,20.1,15.2,27.1
2015-11-07,10.4,19.8,15.6,28.7
2015-11-08,8.9,18.3,15.7,26.3
2015-11-09,9.1,18.6,15.7,26.7
2015-11-10,10.1,18.0,15.4,25.8
2015-11-11,9.9,17.5,15.2,26.2
2015-11-12,11.6,16.5,15.9,26.6
2015-11-13,11.8,17.8,16.5,27.1
2015-11-14,11.0,19.0,14.9,27.0
2015-11-15,10.8,18.9,14.4,27.0
2015-11-16,10.5,19.5,16.4,26.5
2015-11-17,10.4,19.3,14.1,26.8
2015-11-18,9.5,18.3,13.3,28.1
2015-11-19,9.7,19.5,13.6,28.6
2015-11-20,9.1,19.8,14.9,26.4
2015-11-21,9.6,20.3,15.0,25.6
2015-11-22,10.3,18.6,14.5,27.2
2015-11-23,10.3,17.4,13.8,25.8
2015-11-24,10.1,16.6,13.9,23.0
2015-11-25,10.5,16.9,13.8,21.9
2015-11-26,10.8,16.4,14.0,22.4
2015-11-27,10.0,16.0,14.6,22.9
2015-11-28,9.8,15.0,14.8,23.9
2015-11-29,10.7,15.9,13.5,27.0
2015-11-30,11.2,15.9,13.4,28.7
2015-12-01,10.9,17.3,12.4,29.0
2015-12-02,10.8,16.5,13.5,29.1
2015-12-03,11.3,15.6,13.5,27.9
2015-12-04,11.4,16.0,12.6,28.7
2015-12-05,10.4,15.8,13.8,27.7
2015-12-06,10.5,15.2,14.2,28.9
2015-12-07,12.2,15.3,15.0,30.4
2015-12-08,11.9,15.4,15.8,29.3
2015-12-09,12.8,16.6,15.7,31.3
2015-12-10,12.4,16.6,15.4,33.0
2015-12-11,12.0,15.9,15.7,32.1
2015-12-12,11.9,14.7,15.2,34.0
2015-12-13,11.4,14.9,14.6,32.7
2015-12-14,10.8,14.2,14.0,31.3
2015-12-15,10.3,15.5,14.7,29.8
2015-12-16,10.7,14.5,16.0,29.3
2015-12-17,11.2,15.7,15.3,31.2
2015-12-18,10.2,15.3,15.2,32.5
2015-12-19,9.9,14.9,13.9,31.7
2015-12-20,10.9,16.0,13.6,30.0
2015-12-21,11.1,16.0,12.4,27.6
2015-12-22,10.6,17.0,13.0,29.0
2015-12-23,10.4,16.8,12.3,29.6
2015-12-24,10.7,17.4,12.0,29.3
2015-12-25,10.7,17.4,11.4,29.1
2015-12-26,10.3,16.4,12.3,27.3
2015-12-27,10.7,13.6,11.2,26.3
2015-12-28,10.0,14.1,11.9,25.1
2015-12-29,11.4,14.7,12.0,25.0
2015-12-30,11.2,15.4,11.7,23.7
2015-12-31,11.6,14.0,12.0,24.3
2016-01-01,10.2,14.4,12.9,25.9
2016-01-02,11.2,14.2,13.4,24.5
2016-01-03,11.2,14.6,13.9,24.2
2016-01-04,11.1,15.7,14.3,22.5
2016-01-05,12.0,14.6,15.1,22.7
2016-01-06,11.7,15.6,15.3,23.5
2016-01-07,11.5,14.9,15.5,26.0
2016-01-08,10.2,15.2,15.5,26.5
2016-01-09,10.4,14.7,16.4,26.7
2016-01-10,10.2,13.8,16.0,24.0
2016-01-11,10.3,13.2,14.8,25.1
2016-01-12,10.6,16.0,13.8,27.1
2016-01-13,10.2,15.5,12.8,26.3
2016-01-14,11.0,16.2,13.0,25.5
2016-01-15,11.7,17.7,11.8,25.1
2016-01-16,11.8,17.8,13.6,24.7
2016-01-17,11.4,18.8,13.7,25.0
2016-01-18,11.9,18.8,13.6,26.0
2016-01-19,11.9,17.5,12.7,23.5
2016-01-20,10.5,18.6,12.7,23.1
2016-01-21,10.3,17.3,13.5,25.7
2016-01-22,9.7,17.5,13.1,24.7
2016-01-23,11.6,16.9,12.9,23.0
2016-01-24,11.6,16.8,12.1,23.9
2016-01-25,10.5,16.6,11.9,22.5
2016-01-26,11.0,14.0,12.3,22.1
2016-01-27,10.7,13.9,12.3,21.4
2016-01-28,10.9,13.6,13.0,22.9
2016-01-29,10.6,12.7,14.7,22.2
2016-01-30,10.7,12.9,16.0,22.9
2016-01-31,9.1,12.4,15.3,25.7
2016-02-01,9.0,11.3,14.8,29.7
2016-02-02,9.5,12.4,15.5,28.1
2016-02-03,10.0,13.3,15.4,25.6
2016-02-04,10.5,14.8,15.2,25.9
2016-02-05,10.8,16.1,16.0,26.1
2016-02-06,10.8,15.6,16.0,26.7
2016-02-07,10.6,14.6,15.6,25.9
2016-02-08,11.0,13.5,15.9,27.1
2016-02-09,11.8,13.0,15.8,28.5
2016-02-10,12.5,13.7,16.1,27.0
2016-02-11,11.8,15.3,16.6,25.1
2016-02-12,12.6,16.2,17.8,25.9
2016-02-13,12.3,16.2,18.9,27.5
2016-02-14,12.7,16.3,18.2,29.3
2016-02-15,12.6,17.1,17.6,28.8
2016-02-16,13.0,16.8,17.7,29.2
2016-02-17,13.0,17.1,18.3,28.4
2016-02-18,13.6,17.5,17.7,27.8
2016-02-19,13.9,15.1,17.1,25.5
2016-02-20,14.1,16.3,17.9,25.9
2016-02-21,14.8,16.0,19.5,27.4
2016-02-22,14.8,18.0,18.9,28.5
2016-02-23,15.0,18.3,17.5,31.0
2016-02-24,15.2,17.8,17.0,31.8
2016-02-25,13.4,19.1,16.1,33.9
2016-02-26,13.7,18.6,15.5,35.1
2016-02-27,13.5,17.5,14.4,35.2
2016-02-28,12.9,18.6,15.1,34.2
2016-02-29,12.9,18.9,15.0,32.3
2016-03-01,13.0,20.1,15.4,33.3
2016-03-02,13.4,21.3,17.2,32.9
2016-03-03,12.4,20.3,17.5,32.0
2016-03-04,12.6,19.9,17.1,37.0
2016-03-05,12.1,20.3,17.5,36.7
2016-03-06,13.4,19.7,17.6,36.5
2016-03-07,13.1,19.6,19.0,39.1
2016-03-08,14.0,21.2,18.0,36.7
2016-03-09,13.8,22.2,18.0,39.3
2016-03-10,14.5,21.5,18.5,37.1
2016-03-11,15.7,21.3,19.1,38.0
2016-03-12,15.5,20.7,18.3,37.9
2016-03-13,14.8,20.2,19.4,39.9
2016-03-14,15.4,20.3,19.8,39.7
2016-03-15,15.7,19.9,18.6,41.6
2016-03-16,15.7,19.1,20.1,41.1
2016-03-17,16.4,19.9,20.8,43.3
2016-03-18,15.8,18.2,21.0,42.0
2016-03-19,15.0,18.7,19.5,42.9
2016-03-20,14.7,19.3,21.2,41.4
2016-03-21,15.5,19.3,20.9,40.7
2016-03-22,16.1,19.1,20.8,40.7
2016-03-23,16.0,19.4,20.1,40.9
2016-03-24,14.9,21.2,20.4,38.7
2016-03-25,15.6,20.9,19.9,41.2
2016-03-26,15.0,19.9,20.5,42.1
2016-03-27,14.9,20.6,19.5,40.3
2016-03-28,14.0,21.1,18.7,39.5
2016-03-29,14.8,20.3,19.9,38.8
2016-03-30,15.5,20.9,20.6,38.2
2016-03-31,16.5,20.6,20.3,39.7
2016-04-01,16.3,22.5,21.6,43.1
2016-04-02,17.0,21.5,22.6,42.2
2016-04-03,17.3,22.6,22.3,44.0
2016-04-04,18.0,22.3,22.6,45.7
2016-04-05,18.7,22.7,23.4,45.4
2016-04-06,18.5,20.2,22.8,43.8
2016-04-07,18.9,20.8,21.6,44.6
2016-04-08,18.0,21.2,21.8,46.2
2016-04-09,18.3,20.1,22.3,46.5
2016-04-10,19.2,20.2,23.7,47.2
2016-04-11,19.5,21.0,24.7,44.9
2016-04-12,19.0,21.6,24.6,42.4
2016-04-13,18.9,21.7,24.8,44.3
2016-04-14,18.7,21.0,23.7,44.8
2016-04-15,18.5,22.3,23.5,45.1
2016-04-16,18.6,20.8,23.8,43.0
2016-04-17,18.1,22.1,22.4,44.1
2016-04-18,17.6,22.1,23.5,43.4
2016-04-19,18.5,22.0,23.2,44.5
2016-04-20,17.4,20.7,23.2,43.5
2016-04-21,18.1,20.8,24.0,42.5
2016-04-22,17.4,24.2,24.4,45.0
2016-04-23,17.5,24.6,24.0,42.4
2016-04-24,16.1,25.1,24.6,40.4
2016-04-25,16.7,24.3,25.7,43.0
2016-04-26,17.5,25.1,25.7,42.6
2016-04-27,16.3,25.2,25.9,42.9
2016-04-28,17.9,24.4,25.5,43.2
2016-04-29,18.1,24.1,25.3,42.8
2016-04-30,17.4,22.5,24.7,43.8
2016-05-01,18.1,22.8,25.8,43.4
2016-05-02,18.2,24.0,25.2,42.9
2016-05-03,17.6,24.5,25.4,41.5
2016-05-04,18.5,24.3,25.2,42.3
2016-05-05,18.1,24.4,26.3,40.4
2016-05-06,18.8,23.9,26.2,43.5
2016-05-07,18.6,23.9,26.8,44.0
2016-05-08,17.8,23.9,25.8,42.5
2016-05-09,18.0,24.7,25.9,43.5
2016-05-10,17.2,25.2,25.4,44.5
2016-05-11,18.9,26.2,25.6,45.0
2016-05-12,18.3,27.0,24.6,43.0
2016-05-13,18.1,28.3,26.2,43.5
2016-05-14,18.5,29.1,24.9,46.0
2016-05-15,17.8,28.8,24.2,45.8
2016-05-16,17.3,27.4,25.1,44.4
2016-05-17,17.5,28.8,25.4,47.2
2016-05-18,16.9,28.5,25.3,48.0
2016-05-19,18.0,27.9,25.0,49.5
2016-05-20,17.5,29.3,23.8,52.9
2016-05-21,17.4,27.8,24.0,54.8
2016-05-22,17.9,28.3,23.5,53.8
2016-05-23,18.2,28.1,23.5,51.6
2016-05-24,17.1,29.8,23.3,51.2
2016-05-25,17.6,29.1,23.1,50.1
2016-05-26,17.4,28.1,22.8,49.1
2016-05-27,16.9,29.3,23.1,46.5
2016-05-28,16.8,27.7,24.3,46.4
2016-05-29,16.5,27.5,23.9,44.4
2016-05-30,16.2,28.7,23.4,44.1
2016-05-31,17.3,28.1,24.3,45.5
2016-06-01,17.6,26.5,24.7,44.5
2016-06-02,17.7,25.6,25.7,45.8
2016-06-03,17.9,26.3,25.3,44.7
2016-06-04,18.1,26.9,26.1,44.8
2016-06-05,17.9,26.8,26.3,45.9
2016-06-06,18.9,25.7,26.2,43.5
2016-06-07,18.8,26.6,26.9,45.2
2016-06-08,19.5,27.2,26.3,44.6
2016-06-09,19.7,27.2,24.7,48.2
2016-06-10,18.7,28.9,25.1,47.7
2016-06-11,17.3,28.8,24.8,46.9
2016-06-12,18.5,28.9,25.7,44.3
2016-06-13,19.0,27.9,27.3,45.7
2016-06-14,18.9,28.0,27.8,47.6
2016-06-15,19.9,27.5,28.6,48.2
2016-06-16,19.0,27.0,27.1,46.1
2016-06-17,19.3,27.8,26.4,47.3
2016-06-18,20.7,28.3,27.2,47.4
2016-06-19,21.7,28.0,27.2,49.5
2016-06-20,21.5,27.5,28.5,49.1
2016-06-21,22.2,28.6,28.4,48.4
2016-06-22,21.6,28.7,29.5,49.1
2016-06-23,21.3,27.7,29.2,48.7
2016-06-24,21.4,27.8,29.7,49.0
2016-06-25,21.6,27.2,29.8,50.8
2016-06-26,20.5,27.7,29.7,51.6
2016-06-27,19.8,27.5,29.7,50.9
2016-06-28,19.7,27.6,29.8,49.6
2016-06-29,19.9,28.4,29.0,49.9
2016-06-30,20.0,28.2,28.1,49.4
2016-07-01,19.3,28.5,27.4,49.4
2016-07-02,19.2,28.8,25.8,50.3
2016-07-03,19.1,29.2,27.0,48.4
2016-07-04,19.1,30.3,26.3,50.2
2016-07-05,18.9,28.5,24.3,46.2
2016-07-06,19.5,28.5,24.0,44.5
2016-07-07,19.3,29.1,24.0,44.6
2016-07-08,18.6,27.8,23.8,46.1
2016-07-09,17.3,27.4,22.8,46.3
2016-07-10,18.4,27.2,22.8,48.7
2016-07-11,18.2,27.9,24.3,48.2
2016-07-12,17.7,26.4,25.2,48.6
2016-07-13,17.8,26.9,25.0,46.2
2016-07-14,18.2,25.5,24.9,46.8
2016-07-15,18.7,27.2,25.2,45.9
2016-07-16,18.2,28.3,24.5,45.9
2016-07-17,17.1,27.3,24.6,46.6
2016-07-18,18.2,27.6,24.8,46.4
2016-07-19,18.6,27.7,24.8,45.5
2016-07-20,19.1,26.2,25.5,45.0
2016-07-21,19.3,26.7,26.1,44.5
2016-07-22,18.8,27.5,25.1,45.3
2016-07-23,19.5,27.6,24.4,47.0
2016-07-24,19.7,26.6,24.0,45.7
2016-07-25,20.1,26.5,24.4,45.3
2016-07-26,19.1,27.1,24.5,46.8
2016-07-27,19.6,25.9,22.9,48.5
2016-07-28,19.1,25.7,23.6,49.9
2016-07-29,18.3,26.4,24.2,49.8
2016-07-30,18.3,26.1,24.0,50.6
2016-07-31,19.0,25.1,22.9,50.6
2016-08-01,18.6,25.4,22.7,49.3
2016-08-02,18.3,24.9,23.0,49.8
2016-08-03,17.7,24.7,23.8,48.0
2016-08-04,18.3,24.8,24.5,47.1
2016-08-05,17.7,24.4,25.0,47.7
2016-08-06,17.7,24.3,23.8,45.9
2016-08-07,17.1,23.9,23.4,45.6
2016-08-08,16.7,21.9,22.5,44.8
2016-08-09,16.9,21.9,23.4,45.5
2016-08-10,17.1,22.4,23.8,46.9
2016-08-11,17.8,22.7,23.5,49.1
2016-08-12,17.6,22.2,23.0,51.3
2016-08-13,16.7,23.0,21.0,49.9
2016-08-14,16.8,22.4,20.3,50.1
2016-08-15,15.6,21.8,20.7,46.3
2016-08-16,16.3,21.0,21.6,44.6
2016-08-17,17.2,21.1,21.8,43.5
2016-08-18,17.2,20.8,21.4,42.1
2016-08-19,16.9,20.9,23.1,40.8
2016-08-20,18.3,22.6,22.9,39.0
2016-08-21,18.3,23.2,22.8,44.1
2016-08-22,18.7,23.7,23.6,45.2
2016-08-23,18.6,24.5,23.9,43.0
2016-08-24,18.4,25.8,24.4,47.9
2016-08-25,18.1,25.7,23.9,45.0
2016-08-26,18.4,26.1,24.3,45.0
2016-08-27,18.8,25.6,23.2,46.6
2016-08-28,17.8,26.3,23.6,48.0
2016-08-29,17.8,24.1,24.5,50.4
